,text,listed_count,statuses_count,followers_count,favourites_count,friends_count,full_name,place_lat,place_lon,negative,positive,sentclass
2715,"Join the Starbucks team! See our latest #job opening here: https://t.co/oj2WxxgsSy #Hospitality 3951 W. INA ROAD #101, #MARANA, AZ #Hiring",58,247,360,0,284,"Casas Adobes, AZ",32.342708,-111.032309,0,2,3
1650,Fr where am i supposed to study on the weekend?? Starbucks??í _í_ƒ,4,9593,169,6490,265,"Chicago, IL",41.8335845,-87.732013,0,1,3
1728,Join the Starbucks team! See our latest #job opening here: https://t.co/gcjaa6NaST #Hospitality #Veterans #Hiring #CareerArc,188,3120,610,0,292,"Chicago, IL",41.8335845,-87.732013,0,2,3
2029,"Join the Starbucks team! See our latest #job opening here: https://t.co/Npc26C2Ya6 #Hospitality 20 3RD AVENUE #204, #CHULAVISTA, CA #Hiring",98,945,462,0,289,"Chula Vista, CA",32.633767,-117.022463,0,2,3
332,Starbucks.... cus I need a fix í _í¸‹,68,358196,2367,2857,1559,"Clemson, SC",34.6939215,-82.8152355,0,0,2
1175,Want to work at Starbucks? We're #hiring in ! Click for details: https://t.co/cAXoH9VnNc #Job #Hospitality #Veterans #Jobs #CareerArc,63,419,343,0,283,"Clovis, CA",36.830799,-119.636189,0,1,3
1826,@DanaPerino  @BNBuzz waiting for Dana with our @Starbucks https://t.co/gaomjrkVRj,0,690,86,564,183,"College Station, TX",30.5854715,-96.2916485,0,0,2
2459,the starbucks line at evans makes me cry,2,8334,544,7854,463,"College Station, TX",30.5854715,-96.2916485,1,0,1
1635,Want to work at Starbucks? We're #hiring in ! Click for details: https://t.co/VDRBWb8CbY #Job #Hospitality #Veterans #Jobs #CareerArc,120,1189,525,0,314,"Colorado Springs, CO",38.8885185,-104.789327,0,1,3
2682,"Want to work at Starbucks? We're #hiring in 27191 MAIN ST, #CONIFER, CO! Click for details: https://t.co/LdrWJBf3xF #Hospitality #Veterans",123,2094,558,0,286,"Park, CO",38.997936,-105.5508905,0,0,2
460,I'm addicted to spiced sweet cream cold brew #Starbucks,3,13516,339,1342,440,"Columbus, OH",39.9946835,-82.985772,1,2,3
550,@Starbucks Three words I love: #SnickerdoodleHotChocolate â˜• #trueloveinmymouth í _í¸çí _í¸çí _í¸ç,4,3361,162,2752,185,"Columbus, OH",39.9946835,-82.985772,1,1,2
1158,S/O to the girl who was in front of me @Starbucks for recommending my new fav drinkí _í_Œí _í¿_,7,24330,1068,14246,1000,"Corpus Christi, TX",27.737151,-97.432425,0,0,2
873,Huge S/O to the very nice lady who bought my @Starbucks today. It's the small things that make a difference in people's day. I'll pass it on,1,2881,487,1520,1018,"Crestview Hills, KY",39.028003,-84.564676,2,0,1
2662,"Starbucks Christmas Blend: Vintage 2016, is nice but has a weird after taste I'm not sure about.",1,416,11,24,51,"Davis, CA",38.5585535,-121.739163,1,0,1
1502,"Join the Starbucks team! See our latest #job opening here: https://t.co/NIGnS7DrlZ #Hospitality 1410 SPEER BLVD, #DENVER, CO #Veterans",115,2094,558,0,286,"Denver, CO",39.713563,-104.9220935,0,2,3
590,"I'm at Starbucks in Des Moines, IA https://t.co/PxgkKLgSk1",8,13459,189,464,310,"Des Moines, IA",41.5764375,-93.6063695,0,0,2
213,Tea vs. Coffee. We get intense @ Starbucks https://t.co/fR9amSnP3B,1,407,23,38,64,"Douglass Hills, KY",38.238401,-85.543011,0,0,2
574,Getting lost over and over again with no data and dependent on Starbucks' WiFi resulted in thisâ€_ https://t.co/LKlg6h1BkV,6,4693,0,2599,56,"Atlanta, GA",33.7582145,-84.3907725,2,1,1
1026,"Pre mall bevies with ghoulie (@ Starbucks in Garden City, NY) https://t.co/TwAXNp9TPp",6,13634,248,2509,415,"East Garden City, NY",40.7302295,-73.59886,0,1,3
81,Want to work at Starbucks? We're #hiring in ! Click for details: https://t.co/pehc11Pg08 #Job #Hospitality #Veterans #Jobs #CareerArc,101,1245,549,0,315,"Eastmont, WA",47.891113,-122.189162,0,1,3
910,I'd take Dunkin Donuts over Starbucks any day â˜•ï¸è,5,4856,220,19940,790,"Elmhurst, IL",41.8897245,-87.942283,0,0,2
2614,"Want to work at Starbucks? We're #hiring in 2830 WILLAMETTE ST, #EUGENE, OR! Click for details: https://t.co/vljEIfc3kf #Job #Hospitality",60,299,349,0,280,"Eugene, OR",44.065621,-123.1224015,0,1,3
172,"am i really about to go to target &amp; starbucks wearing a juicy zip up, lulus, and uggs? the answer is unfortunatelyâ€_ https://t.co/U7CnzCNHPp",4,14601,752,23564,687,"Fargo, ND",46.8648825,-96.8300925,1,0,1
2555,Join the Starbucks team! See our latest #job opening here: https://t.co/7mBP6wiDAO #Hospitality #Veterans #Hiring #CareerArc,34,147,310,0,283,"Farmington, CT",41.7312315,-72.835584,0,2,3
1292,"@taleofterrier Only outstanding lawsuit against Steven W Blood jr who is.. @Bikers4Trump is from @Starbucks , for copyright &amp; trademark",215,105317,116689,1935,14078,"Orlando, FL",27.698682,-83.804475,2,1,1
1742,"I've become a regular at the Starbucks inside of the Magic Kingdom I've reached the end goal",3,7249,471,10523,303,"Orlando, FL",27.698682,-83.804475,0,0,2
2598,HELLO ALL SUGAR FREE SYRUPS AT STARBUCKS!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,15,18856,844,6496,611,"Fort Lauderdale, FL",26.150368,-80.1491725,0,1,3
949,Want to work at Starbucks? We're #hiring in ! Click for details: https://t.co/Chgm6ERiHc #Job #Hospitality #Veterans #Jobs #CareerArc,86,532,340,0,274,"Fort Wayne, IN",41.086917,-85.1700515,0,1,3
200,Me too I never tried it í _í¸© https://t.co/Bgh6wj3ukh,1,21200,866,3761,492,"Fort Worth, TX",32.7799665,-97.2859135,0,0,2
2100,i told my mom to surprise me with something from starbucks but nothing with peppermint &amp; she comes home w a peppermint mocha í _í_Å,2,38972,876,10214,360,"Fort Worth, TX",32.7799665,-97.2859135,0,1,3
1573,Lol why do I still come to this Starbucks??? They've messed up my order twice in this one visit. í _í_ƒ,3,8345,328,8938,194,"Frankfort, KY",38.187468,-84.853542,0,1,3
175,"I think it's really sad that as progressive as @Starbucks  is, there is nothing available #glutenfree outside of aâ€_ https://t.co/dDDIJfL7Ow",90,13878,1525,686,396,"Frisco, TX",33.1501395,-96.835249,0,1,3
518,I'm sick but at least I got my Starbucks í _í¸Œâ˜•ï¸è,0,3472,182,2941,163,"Gallup, NM",35.521893,-108.7462485,1,0,1
1433,"Snickerdoodle hot cocoa! After a day like today, why not splurge... (@ Starbucks in Marietta, GA) https://t.co/sajb99DZoO",737,74990,3181,1587,2851,"Wilkinson, GA",32.6782075,-83.1738665,0,0,2
2860,"Java chip fan forevs âù_ï¸è (@ Starbucks in Yulee, FL) https://t.co/9pmckuhNkJ",1,5479,280,3571,179,"Glenwood, FL",30.652365,-81.5386955,0,0,2
2274,I'll give anyone a $5 Starbucks gift card if they tell what band this is https://t.co/C3e4Vyhq0E,16,45859,294,16946,106,"Greenfield, CA",36.3235695,-121.243741,1,1,2
3147,I could drink green tea lattes all day everyday í _í¸‰@Starbucks @ Starbucks https://t.co/PR3xV2ZJl8,88,15847,582,3243,25,"Henrietta, NY",43.057039,-77.641937,0,1,3
2958,So when is h town gonna get a Starbucks,2,2386,576,841,435,"Hillsborough, NC",36.0658195,-79.098482,0,0,2
421,Want to work at Starbucks? We're #hiring in ! Click for details: https://t.co/5qjJKjv2Iw #Job #Hospitality #Veterans #Jobs #CareerArc,188,3120,610,0,292,"Hoffman Estates, IL",42.072284,-88.151832,0,1,3
1246,Este vicio se estÃ¡ saliendo de control.. â˜•ï¸è#starbucks @ Starbucks https://t.co/tomrxKKlun,0,2777,280,134,564,"Houston, TX",29.838495,-95.4464865,0,0,2
1587,There's a girl here at Starbucks with a nappy blond wig and messy red lipstick holding a fake cigarette,0,1749,131,734,129,"Houston, TX",29.838495,-95.4464865,4,0,1
218,My coffee is slowing down on the backstretch! Loving my new #Indy inspired coffee mug from  @Starbucks !í _í¿Å https://t.co/xTKMdndow3,96,9837,8581,15430,2754,"Indianapolis, IN",39.7795625,-86.1429225,1,3,3
1755,"Join the Starbucks team! See our latest #job opening here: https://t.co/uAb8VwLEdG #Hospitality 8310 WINDFALL LN, #CAMBY, IN #Veterans",95,1147,417,0,284,"Indianapolis, IN",39.7795625,-86.1429225,0,2,3
564,The Starbucks barista corrected the spelling of my name even when I didn't mind. #service #daymade,15,10117,184,2283,426,"Iowa City, IA",41.6473535,-91.537062,0,1,3
1278,Just posted a photo @ Starbucks https://t.co/VrtdDifN2d,0,473,17,26,148,"Irmo, SC",34.1090235,-81.19485,0,0,2
1740,#chains @ Starbucks https://t.co/FgM8UYsNEQ,0,474,17,26,148,"Irmo, SC",34.1090235,-81.19485,0,0,2
2551,These Christmas carols in Starbucks got me feeling some typa way,3,9040,464,10603,300,"Isla Vista, CA",34.421639,-119.8550785,1,1,2
896,"Can you recommend anyone for this #job? Starbucks - Barista - https://t.co/zdqfsYqdTV #Simon #Hospitality #Kennewick, WA #Hiring",30,77,298,0,267,"Kennewick, WA",46.1992915,-119.1759405,0,3,3
2475,"Join the Starbucks team! See our latest #job opening here: https://t.co/pWM3mXKS4T #Hospitality 2801 W CLEARWATER, #KENNEWICK, WA #Veterans",30,77,298,0,267,"Kennewick, WA",46.1992915,-119.1759405,0,2,3
3088,The Snickerdoodle Hot Cocoa at Starbucks is to die for í _í¸çí _í¸çí _í¸ç,10,6340,239,2372,932,"Hardin, KY",37.822244,-85.7682405,1,0,1
3148,"I'm at Starbucks in Lexington, KY https://t.co/hVnh3nzhGw",39,30552,953,1371,2519,"Hardin, KY",37.822244,-85.7682405,0,0,2
2521,#coffee #cantbuyhappinessbutyoucanbuycoffee with the @Starbucks app on my @HP #Elitex3 (@ Starbucks) https://t.co/CMsEJcaAQP,91,12467,524,908,1771,"King of Prussia, PA",40.0947845,-75.3817475,0,0,2
3014,I haven't had Starbucks in so long í _í¸©,2,5489,543,5146,383,"Lakeland Heights, TX",32.655678,-97.011168,0,0,2
2431,Went to @starbucks earlier today with Love and they gave her a sweet surprise! í _í°¶í _í_€ #lovestorydogâ€_ https://t.co/VHXd0lDLYm,39,19075,636,1989,504,"Laredo, TX",27.532077,-99.454676,0,2,3
920,"Warming up with some teavanatea full leaf chai in my @starbucks cup before church tonight,â€_ https://t.co/bGXvcrlvWP",10,1680,121,275,91,"Linganore, MD",39.3954305,-77.3141525,0,2,3
2721,"Lazy Saturday w breakfast at 4 pm, Starbucks, &amp; gossip girl w my number 1 @Madi_Petty í _í¸ç",2,11204,312,20466,231,"Logan, UT",41.7383585,-111.82938,2,1,1
270,@kaituhhhlin ITS A MUST. theres a place by the starbucks on palmdale blvd and in n out in Palmdale í _í¸è,10,80673,631,1347,601,"Long Beach, CA",33.8091715,-118.1567105,0,0,2
234,@Starbucks is poppin right now https://t.co/uMCoHUWX0u,9,973,195,111,371,"Los Angeles, CA",34.0207895,-118.4119065,0,0,2
474,*crawls into Starbucks*,31,858,6871,535,653,"Los Angeles, CA",34.0207895,-118.4119065,0,0,2
540,It's been real @Starbucks...going to ktown now âœŒí _í¿_ï¸è https://t.co/Kfyo6drEJg,9,979,195,111,372,"Los Angeles, CA",34.0207895,-118.4119065,0,1,3
592,FYI @USCMarshall https://t.co/uOfQEO23tq,9,980,195,111,372,"Los Angeles, CA",34.0207895,-118.4119065,0,0,2
722,@Starbucks  you need employees at the Beverly Center in LA https://t.co/mOHdGJye9E,0,1632,191,2725,209,"Los Angeles, CA",34.0207895,-118.4119065,0,1,3
1474,how does a drive thru only starbucks take longer than a normal starbucks,6,10720,246,6951,318,"Los Angeles, CA",34.0207895,-118.4119065,0,0,2
2269,chai cream frappe https://t.co/gSJmdIyFjY,4,383,313,5305,82,"Los Angeles, CA",34.0207895,-118.4119065,0,1,3
2395,Bitch at Starbucks wit her min wage. Why gotta give attitude,6,23766,1933,15244,1423,"Los Angeles, CA",34.0207895,-118.4119065,1,1,2
2815,"I'm at Starbucks in Los Angeles, CA https://t.co/FYLP3sodoZ",46,8982,766,909,1177,"Los Angeles, CA",34.0207895,-118.4119065,0,0,2
2934,..try it! Watch out above #drone https://t.co/eIgk1euiB6,198,12806,1902,35823,480,"Los Angeles, CA",34.0207895,-118.4119065,1,0,1
3110,Just #doodling @ Starbucks https://t.co/PfxOWGx4X6,40,7921,1775,2194,2032,"Los Angeles, CA",34.0207895,-118.4119065,0,0,2
187,@SophieDAguiar Starbucks date soon í _í¸˜,1,12605,860,4700,1248,"Tensas, LA",30.937336,-91.4010085,0,0,2
1495,Thank you @Starbucks í _í¸çí _í¸ç https://t.co/FMkQ3Uh76l,3,2423,121,2096,267,"Lubbock, TX",33.5705265,-101.897173,0,0,2
1319,"Holiday Joy in a cup hehe (@ Starbucks in Timonium, MD) https://t.co/fLW5QNfY4a",0,11439,120,27543,134,"Lutherville, MD",39.4396,-76.606509,0,2,3
63,dinginnya gak nyantai â˜ƒï¸èâù„ï¸è (at @starbucks) â€” https://t.co/OtesVJHHfg,32,22528,2347,2186,1684,"Manhattan, NY",40.780709,-73.9685415,0,0,2
533,Raise your hand if you've been personally victimized by the Starbucks @ Marymount for not being open on Saturday's,5,4968,460,25019,402,"Manhattan, NY",40.780709,-73.9685415,1,0,1
894,You know I love you when I buy you a Starbucks with my gold stars âœ¨,5,3138,276,4793,795,"Manhattan, NY",40.780709,-73.9685415,0,2,3
1148,"just heard the order ""one grandÃ© cup of water"" shouted at Starbucks and I think I've now had enough of humanity for today",11,11068,531,2830,647,"Manhattan, NY",40.780709,-73.9685415,0,1,3
2964,"@Starbucks  #Starbucks #businessmeeting #entrepreneur #youngprofessional (@ Starbucks in New York, NY) https://t.co/BCiymKv2sK",87,7822,1639,2525,4989,"Manhattan, NY",40.780709,-73.9685415,0,0,2
2196,I'd be miserable if Starbucks weren't in my life,0,1234,586,2395,515,"Marysville, OH",40.2368775,-83.3497615,1,0,1
2160,After a long day i came to starbucks wish it would be closer í _í¸¢#alamowants #closertohome #starbuckscoffeeâ€_ https://t.co/IzkCtOwAgf,0,63,11,29,17,"McAllen, TX",26.24069,-98.2456745,0,0,2
1417,"I'm at Starbucks in Bremerton, WA https://t.co/gtHEBncdMA",25,65529,2551,6,90,"Meadowdale, WA",47.635928,-122.628706,0,0,2
3146,Someone buy me all of the mermaid cups at @Starbucks please.,6,9915,537,6379,544,"Memphis, TN",35.1335205,-89.922029,0,0,2
659,coffee dates with this beauty â˜•ï¸èí _í_• @ Starbucks https://t.co/s5sYzNZ7vo,10,2600,164,173,171,"Mequon, WI",43.2362455,-87.968215,0,0,2
1039,You thought the ornaments at Starbucks were shot glasses. LMAO I drink too much,1,5279,444,1742,829,"Lake, MI",45.00118,-86.2705395,1,0,1
744,"We're #hiring! Click to apply: Starbucks - Barista - https://t.co/RHdtxJBaK5 #Job #Simon #Hospitality #Midland, TXâ€_ https://t.co/qftiMJZ7hz",651,416,1346,3,1625,"Midland, TX",31.9943,-102.104627,0,1,3
747,"We're #hiring! Click to apply: Starbucks - Barista - https://t.co/RHdtxJBaK5 #Job #Simon #Hospitality #Midland, TXâ€_ https://t.co/qftiMJZ7hz",651,416,1346,3,1625,"Midland, TX",31.9943,-102.104627,0,1,3
1426,My Starbucks barista knows my name by heartí _í¸‚,0,25,22,88,20,"Milford, MI",42.5847085,-83.629902,0,0,2
1976,this fucking 8 year old girl just stole my Starbucks drink out of my fucking hands what the fuck,11,47387,1679,102991,686,"Mission Viejo, CA",33.603508,-117.656773,0,0,2
228,In the drive thru at @Starbucks. 46F. Guy in front of me... top down.  í _í_„ https://t.co/jKlxoCSkgZ,47,11575,1548,4245,2046,"Saline, MO",38.3045585,-92.4367735,0,1,3
387,@scooterscoffee a large nor is it a upgrade &amp; if I wanted to deal with a barista who claimed it was I would still be going to Starbucks,6,2126,203,416,428,"Saline, MO",38.3045585,-92.4367735,0,1,3
458,@scooterscoffee a large nor is it a upgrade &amp; if I wanted to deal wth a barista who claimed it was I would still be going to Starbucks (2/2),6,2126,203,416,428,"Saline, MO",38.3045585,-92.4367735,0,1,3
694,Starbucks Christmas cups make me happy,0,1852,216,2954,295,"Mobile, AL",30.683649,-88.1615555,0,1,3
2226,Join the Starbucks team! See our latest #job opening here: https://t.co/UHRfhDWs4d #Hospitality #Veterans #Hiring #CareerArc,170,11275,453,0,290,"Moreno Valley, CA",33.921924,-117.21792,0,2,3
1277,"Want to work at Starbucks? We're #hiring in 7324 THORNTON AVE, #NEWARK, CA! Click for details: https://t.co/8qJCI4g8Lw #Job #Hospitality",69,474,305,0,261,"Newark, CA",37.529056,-122.030365,0,1,3
1575,"#ImOnTheNaughtyListCuz cause I write ""Fat chicks ROCK!"" on my Starbucks cup""",2,848,149,2145,410,"North Richland Hills, TX",32.860387,-97.224318,1,1,2
1613,"#ImOnTheNaughtyListCuz cause I write ""Starbucks is way overpriced!"" on my Starbucks cup.",2,849,149,2145,410,"North Richland Hills, TX",32.860387,-97.224318,1,0,1
73,"Boy: ""A lot of grownups' teeth are yellow."" / Boy's father: ""Well, I've had them my whole life."" // Overheard in #Starbucks.",7,4419,437,2556,430,"Northbrook, IL",42.125755,-87.8452485,1,0,1
571,"Join the Starbucks team! See our latest #job opening here: https://t.co/xfETPsYdQK #Hospitality 11014 S. CICERO AVE, #OAKLAWN, IL #Veterans",188,3120,610,0,292,"Oak Lawn, IL",41.708954,-87.759533,0,2,3
1496,"I'm at Starbucks in Ewa Beach, HI https://t.co/QQuL8uF9mr",11,7810,193,44,234,"Ocean Pointe, HI",21.3162335,-158.029439,0,0,2
306,"I'm at Starbucks in Omaha, NE w/ @khadijakhusaibi https://t.co/dlJA7oZDe2",8,29920,805,5701,398,"Omaha, NE",41.275721,-96.053431,0,0,2
377,"I like @starbucks, okay? â˜•ï¸èâ˜•ï¸èâ˜•ï¸èâ˜•ï¸èâ˜•ï¸èí _í_»í _í_¸: poisondminds @ Starbucks https://t.co/JufjVf50F9",11,10776,1687,1938,290,"Orange, CA",33.810159,-117.824049,0,0,2
2613,"Join the Starbucks team! See our latest #job opening here: https://t.co/tw0OpGBsEt #Hospitality 110 FRANCES LANE, #ORLAND, CA #Veterans",170,11275,453,0,290,"Orland, CA",39.74556,-122.194553,0,2,3
2237,"I'm at Starbucks in Orlando, FL https://t.co/Qq49WyE5WO",7,5215,100,2932,269,"Orlando, FL",28.5016785,-81.3677725,0,0,2
733,If I wasn't in a rush I would've got a new 1 @Starbucks upset none of my crazy toppings were on it but there wasn'tâ€_ https://t.co/JBNJfvg2r0,16,9489,1029,38889,1343,"Overland Park, KS",38.931549,-94.6750935,1,0,1
212,Y'all should give out free Starbucks to reconcile for this catastrophe #whoswithme? https://t.co/VLfJurMCur,1,4300,668,3105,447,"Oxford, MS",34.35467,-89.53377,1,0,1
1157,A little Starbucks &amp;&amp; Gator footballí _í¸»í _í¸»,5,5573,486,3837,942,"Palm Coast, FL",29.525946,-81.219179,0,1,3
536,"Sorry @starbucks but @joemaxxcoffeelv is bringing back #latteart ãƒ»ãƒ»ãƒ»Good Morning! í _í¸¸ Check outâ€_ https://t.co/ReXZccZ1qe",130,32960,2445,5107,1106,"Paradise, NV",36.0609645,-115.135165,0,1,3
2383,"#tgif again (@ Starbucks in Las Vegas, NV) https://t.co/eCj9LXBmyU",33,9098,702,97,188,"Paradise, NV",36.0609645,-115.135165,0,0,2
2123,I just found my starbucks card lmao,4,5165,540,13755,78,"Pasadena, TX",29.668301,-95.158936,0,1,3
2040,Want to work at Starbucks? We're #hiring in ! Click for details: https://t.co/0ErrF5YRcn #Job #Hospitality #Veterans #Jobs #CareerArc,115,1047,555,0,286,"Phoenix, AZ",33.5528625,-112.1246765,0,1,3
3116,Caramel machiotta https://t.co/XtBSvR2EYI,41,122586,3939,455,2971,"Phoenix, AZ",33.5528625,-112.1246765,0,0,2
1620,"@seeryfutures Makes sense that Starbucks would bump theirs up a buck a cup",158,137453,11198,5477,11704,"Pine Valley, NY",42.228729,-76.84444,1,2,3
2007,Want to work at Starbucks? We're #hiring in ! Click for details: https://t.co/JNf5GQrzTX #Job #Hospitality #Veterans #Jobs #CareerArc,140,5537,713,0,310,"Plant City, FL",28.012167,-82.161782,0,1,3
557,"Want to work at Starbucks? We're #hiring in 1012 NW 21ST STREET, #PORTLAND, OR! Click for details: https://t.co/dDu7yA5txD #Hospitality",99,834,454,0,285,"Portland, OR",45.536402,-122.630908,0,0,2
2856,"Want to work at Starbucks? We're #hiring in 7421 SW BARBUR BLVD, #PORTLAND, OR! Click for details: https://t.co/lgrNaYXbwp #Hospitality",98,834,453,0,285,"Portland, OR",45.536402,-122.630908,0,0,2
1580,"I'm at Starbucks in Jamaica, NY https://t.co/kl408syk3n",53,113353,634,386,768,"Queens, NY",40.6708795,-73.8311875,0,0,2
975,I could really go for some Starbucks rní _í_„í _í_„,1,3719,229,3554,431,"Rancho Cucamonga, CA",34.12167,-117.5621525,0,0,2
1750,"Join the Starbucks team! See our latest #job opening here: https://t.co/dLRb7YRU1s #Hospitality 2020 148TH AVENUE NE, #REDMOND, WA #Hiring",101,1245,549,0,315,"Redmond, WA",47.6788125,-122.061771,0,2,3
93,Stopped at a local roastery in Reno &amp; learned 2 things.  Hipsters have poor taste in coffee &amp; Starbucks is not expensive. $4.75 for a tall!,2,4275,43,69,100,"Reno, NV",39.512436,-119.827182,0,0,2
922,"Join the Starbucks team! See our latest #job opening here: https://t.co/36HsKhxwhY #Hospitality 9616 MANCHESTER ROAD, #ROCKHILL, MO #Hiring",105,1440,429,0,285,"Rock Hill, MO",38.6097345,-90.3677315,0,2,3
99,"I'm at Starbucks in Royal Oak, MI https://t.co/Rj0JgixHLZ",26,48296,1247,257,287,"Royal Oak, MI",42.507218,-83.157747,0,1,3
