"FIPS" "geoid" "Stabr" "County_Name" "Rural_Urban_Continuum_Code_2013" "Urban_Influence_2013" "Metro_Nonmetro_2013" "Metro_Micro_Noncore_2013" "year" "oilwithdraw" "gaswithdraw" "oil_change_group" "gas_change_group" "oil_gas_change_group"
"49" 1097 1097 "AL" "Mobile County" 2 2 1 2 "2000" 3710055 170011360 "H_Decline" "H_Decline" "H_Decline"
"50" 1099 1099 "AL" "Monroe County" 7 11 0 0 "2000" 1513619 2078448 "H_Decline" "Status Quo" "H_Decline"
"51" 1101 1101 "AL" "Montgomery County" 2 2 1 2 "2000" 0 0 "Status Quo" "Status Quo" "Status Quo"
"52" 1103 1103 "AL" "Morgan County" 3 2 1 2 "2000" 0 0 "Status Quo" "Status Quo" "Status Quo"
"53" 1105 1105 "AL" "Perry County" 8 4 0 0 "2000" 0 0 "Status Quo" "Status Quo" "Status Quo"
"54" 1107 1107 "AL" "Pickens County" 3 2 1 2 "2000" 1070 1078376 "Status Quo" "Status Quo" "Status Quo"
"55" 1109 1109 "AL" "Pike County" 6 5 0 1 "2000" 0 0 "Status Quo" "Status Quo" "Status Quo"
"56" 1111 1111 "AL" "Randolph County" 6 4 0 0 "2000" 0 0 "Status Quo" "Status Quo" "Status Quo"
"57" 1113 1113 "AL" "Russell County" 2 2 1 2 "2000" 0 0 "Status Quo" "Status Quo" "Status Quo"
"58" 1115 1115 "AL" "St. Clair County" 1 1 1 2 "2000" 0 0 "Status Quo" "Status Quo" "Status Quo"
"59" 1117 1117 "AL" "Shelby County" 1 1 1 2 "2000" 0 80745 "Status Quo" "Status Quo" "Status Quo"
"60" 1119 1119 "AL" "Sumter County" 8 6 0 0 "2000" 0 0 "Status Quo" "Status Quo" "Status Quo"
"61" 1121 1121 "AL" "Talladega County" 4 3 0 1 "2000" 0 0 "Status Quo" "Status Quo" "Status Quo"
"62" 1123 1123 "AL" "Tallapoosa County" 6 6 0 0 "2000" 0 0 "Status Quo" "Status Quo" "Status Quo"
"63" 1125 1125 "AL" "Tuscaloosa County" 3 2 1 2 "2000" 0 99078029 "Status Quo" "H_Decline" "H_Decline"
"64" 1127 1127 "AL" "Walker County" 1 1 1 2 "2000" 0 3181135 "Status Quo" "Status Quo" "Status Quo"
"65" 1129 1129 "AL" "Washington County" 8 7 0 0 "2000" 233623 5588012 "Status Quo" "Status Quo" "H_Decline"
"66" 1131 1131 "AL" "Wilcox County" 9 10 0 0 "2000" 0 0 "Status Quo" "Status Quo" "Status Quo"
"67" 1133 1133 "AL" "Winston County" 6 4 0 0 "2000" 0 22695 "Status Quo" "Status Quo" "Status Quo"
"68" 4001 4001 "AZ" "Apache County" 6 6 0 0 "2000" 57483 368450 "Status Quo" "Status Quo" "Status Quo"
"69" 4003 4003 "AZ" "Cochise County" 3 2 1 2 "2000" 0 0 "Status Quo" "Status Quo" "Status Quo"
"70" 4005 4005 "AZ" "Coconino County" 3 2 1 2 "2000" 0 0 "Status Quo" "Status Quo" "Status Quo"
"71" 4007 4007 "AZ" "Gila County" 4 3 0 1 "2000" 0 0 "Status Quo" "Status Quo" "Status Quo"
"72" 4009 4009 "AZ" "Graham County" 7 8 0 1 "2000" 0 0 "Status Quo" "Status Quo" "Status Quo"
"73" 4011 4011 "AZ" "Greenlee County" 7 9 0 0 "2000" 0 0 "Status Quo" "Status Quo" "Status Quo"
"74" 4012 4012 "AZ" "La Paz County" 6 4 0 0 "2000" 0 0 "Status Quo" "Status Quo" "Status Quo"
"75" 4013 4013 "AZ" "Maricopa County" 1 1 1 2 "2000" 0 0 "Status Quo" "Status Quo" "Status Quo"
"76" 4015 4015 "AZ" "Mohave County" 3 2 1 2 "2000" 0 0 "Status Quo" "Status Quo" "Status Quo"
"77" 4017 4017 "AZ" "Navajo County" 4 5 0 1 "2000" 0 0 "Status Quo" "Status Quo" "Status Quo"
"78" 4019 4019 "AZ" "Pima County" 2 2 1 2 "2000" 0 0 "Status Quo" "Status Quo" "Status Quo"
"79" 4021 4021 "AZ" "Pinal County" 1 1 1 2 "2000" 0 0 "Status Quo" "Status Quo" "Status Quo"
"80" 4023 4023 "AZ" "Santa Cruz County" 4 5 0 1 "2000" 0 0 "Status Quo" "Status Quo" "Status Quo"
"81" 4025 4025 "AZ" "Yavapai County" 3 2 1 2 "2000" 0 0 "Status Quo" "Status Quo" "Status Quo"
"82" 4027 4027 "AZ" "Yuma County" 3 2 1 2 "2000" 0 0 "Status Quo" "Status Quo" "Status Quo"
"83" 5001 5001 "AR" "Arkansas County" 6 6 0 0 "2000" 0 0 "Status Quo" "Status Quo" "Status Quo"
"84" 5003 5003 "AR" "Ashley County" 7 11 0 0 "2000" 7740 0 "Status Quo" "Status Quo" "Status Quo"
"85" 5005 5005 "AR" "Baxter County" 7 8 0 1 "2000" 0 0 "Status Quo" "Status Quo" "Status Quo"
"86" 5007 5007 "AR" "Benton County" 2 2 1 2 "2000" 0 0 "Status Quo" "Status Quo" "Status Quo"
"87" 5009 5009 "AR" "Boone County" 7 8 0 1 "2000" 0 0 "Status Quo" "Status Quo" "Status Quo"
"88" 5011 5011 "AR" "Bradley County" 7 9 0 0 "2000" 22371 0 "Status Quo" "Status Quo" "Status Quo"
"89" 5013 5013 "AR" "Calhoun County" 9 8 0 1 "2000" 16931 0 "Status Quo" "Status Quo" "Status Quo"
"90" 5015 5015 "AR" "Carroll County" 6 6 0 0 "2000" 0 0 "Status Quo" "Status Quo" "Status Quo"
"91" 5017 5017 "AR" "Chicot County" 7 9 0 0 "2000" 0 0 "Status Quo" "Status Quo" "Status Quo"
"92" 5019 5019 "AR" "Clark County" 7 8 0 1 "2000" 0 0 "Status Quo" "Status Quo" "Status Quo"
"93" 5021 5021 "AR" "Clay County" 7 9 0 0 "2000" 0 0 "Status Quo" "Status Quo" "Status Quo"
"94" 5023 5023 "AR" "Cleburne County" 6 6 0 0 "2000" 0 0 "Status Quo" "H_Growth" "H_Growth"
"95" 5025 5025 "AR" "Cleveland County" 3 2 1 2 "2000" 0 0 "Status Quo" "Status Quo" "Status Quo"
"96" 5027 5027 "AR" "Columbia County" 7 8 0 1 "2000" 2660294 9662458 "H_Decline" "Status Quo" "H_Decline"
"97" 5029 5029 "AR" "Conway County" 6 6 0 0 "2000" 0 16566 "Status Quo" "H_Growth" "H_Growth"
"98" 5031 5031 "AR" "Craighead County" 3 2 1 2 "2000" 0 0 "Status Quo" "Status Quo" "Status Quo"
"99" 5033 5033 "AR" "Crawford County" 2 2 1 2 "2000" 0 15680423 "Status Quo" "H_Decline" "H_Decline"
"100" 5035 5035 "AR" "Crittenden County" 1 1 1 2 "2000" 0 0 "Status Quo" "Status Quo" "Status Quo"
"101" 5037 5037 "AR" "Cross County" 6 4 0 0 "2000" 0 0 "Status Quo" "Status Quo" "Status Quo"
"102" 5039 5039 "AR" "Dallas County" 6 6 0 0 "2000" 0 0 "Status Quo" "Status Quo" "Status Quo"
"103" 5041 5041 "AR" "Desha County" 6 6 0 0 "2000" 0 0 "Status Quo" "Status Quo" "Status Quo"
"104" 5043 5043 "AR" "Drew County" 6 6 0 0 "2000" 0 0 "Status Quo" "Status Quo" "Status Quo"
"105" 5045 5045 "AR" "Faulkner County" 2 2 1 2 "2000" 0 3274 "Status Quo" "H_Growth" "H_Growth"
"106" 5047 5047 "AR" "Franklin County" 6 6 0 0 "2000" 0 53628919 "Status Quo" "H_Decline" "H_Decline"
"107" 5049 5049 "AR" "Fulton County" 9 9 0 0 "2000" 0 0 "Status Quo" "Status Quo" "Status Quo"
"108" 5051 5051 "AR" "Garland County" 3 2 1 2 "2000" 0 0 "Status Quo" "Status Quo" "Status Quo"
"109" 5053 5053 "AR" "Grant County" 2 2 1 2 "2000" 0 0 "Status Quo" "Status Quo" "Status Quo"
"110" 5055 5055 "AR" "Greene County" 4 5 0 1 "2000" 0 0 "Status Quo" "Status Quo" "Status Quo"
"111" 5057 5057 "AR" "Hempstead County" 6 6 0 0 "2000" 4306 0 "Status Quo" "Status Quo" "Status Quo"
"112" 5059 5059 "AR" "Hot Spring County" 6 5 0 1 "2000" 0 0 "Status Quo" "Status Quo" "Status Quo"
"113" 5061 5061 "AR" "Howard County" 6 6 0 0 "2000" 0 0 "Status Quo" "Status Quo" "Status Quo"
"114" 5063 5063 "AR" "Independence County" 7 8 0 1 "2000" 0 0 "Status Quo" "H_Growth" "H_Growth"
"115" 5065 5065 "AR" "Izard County" 9 10 0 0 "2000" 0 0 "Status Quo" "Status Quo" "Status Quo"
"116" 5067 5067 "AR" "Jackson County" 6 6 0 0 "2000" 0 0 "Status Quo" "Status Quo" "Status Quo"
"117" 5069 5069 "AR" "Jefferson County" 3 2 1 2 "2000" 0 0 "Status Quo" "Status Quo" "Status Quo"
"118" 5071 5071 "AR" "Johnson County" 7 9 0 0 "2000" 0 18190107 "Status Quo" "H_Decline" "H_Decline"
"119" 5073 5073 "AR" "Lafayette County" 8 7 0 0 "2000" 931978 6316535 "Status Quo" "H_Decline" "H_Decline"
"120" 5075 5075 "AR" "Lawrence County" 6 6 0 0 "2000" 0 0 "Status Quo" "Status Quo" "Status Quo"
"121" 5077 5077 "AR" "Lee County" 7 9 0 0 "2000" 0 0 "Status Quo" "Status Quo" "Status Quo"
"122" 5079 5079 "AR" "Lincoln County" 3 2 1 2 "2000" 0 0 "Status Quo" "Status Quo" "Status Quo"
"123" 5081 5081 "AR" "Little River County" 3 2 1 2 "2000" 0 0 "Status Quo" "Status Quo" "Status Quo"
"124" 5083 5083 "AR" "Logan County" 6 6 0 0 "2000" 0 20350966 "Status Quo" "H_Growth" "H_Growth"
"125" 5085 5085 "AR" "Lonoke County" 2 2 1 2 "2000" 0 0 "Status Quo" "Status Quo" "Status Quo"
"126" 5087 5087 "AR" "Madison County" 2 2 1 2 "2000" 0 6122 "Status Quo" "Status Quo" "Status Quo"
"127" 5089 5089 "AR" "Marion County" 9 10 0 0 "2000" 0 0 "Status Quo" "Status Quo" "Status Quo"
"128" 5091 5091 "AR" "Miller County" 3 2 1 2 "2000" 616055 1221441 "Status Quo" "Status Quo" "H_Decline"
"129" 5093 5093 "AR" "Mississippi County" 4 3 0 1 "2000" 0 0 "Status Quo" "Status Quo" "Status Quo"
"130" 5095 5095 "AR" "Monroe County" 7 9 0 0 "2000" 0 0 "Status Quo" "Status Quo" "Status Quo"
"131" 5097 5097 "AR" "Montgomery County" 8 7 0 0 "2000" 0 0 "Status Quo" "Status Quo" "Status Quo"
"132" 5099 5099 "AR" "Nevada County" 7 9 0 0 "2000" 151226 817 "Status Quo" "Status Quo" "Status Quo"
"133" 5101 5101 "AR" "Newton County" 9 8 0 1 "2000" 0 0 "Status Quo" "Status Quo" "Status Quo"
"134" 5103 5103 "AR" "Ouachita County" 7 8 0 1 "2000" 545814 45150 "Status Quo" "Status Quo" "Status Quo"
"135" 5105 5105 "AR" "Perry County" 2 2 1 2 "2000" 0 0 "Status Quo" "Status Quo" "Status Quo"
"136" 5107 5107 "AR" "Phillips County" 6 3 0 1 "2000" 0 0 "Status Quo" "Status Quo" "Status Quo"
"137" 5109 5109 "AR" "Pike County" 9 10 0 0 "2000" 0 0 "Status Quo" "Status Quo" "Status Quo"
"138" 5111 5111 "AR" "Poinsett County" 3 2 1 2 "2000" 0 0 "Status Quo" "Status Quo" "Status Quo"
"139" 5113 5113 "AR" "Polk County" 7 11 0 0 "2000" 0 0 "Status Quo" "Status Quo" "Status Quo"
"140" 5115 5115 "AR" "Pope County" 5 8 0 1 "2000" 0 7462171 "Status Quo" "Status Quo" "Status Quo"
"141" 5117 5117 "AR" "Prairie County" 8 7 0 0 "2000" 0 0 "Status Quo" "Status Quo" "Status Quo"
"142" 5119 5119 "AR" "Pulaski County" 2 2 1 2 "2000" 0 0 "Status Quo" "Status Quo" "Status Quo"
"143" 5121 5121 "AR" "Randolph County" 7 9 0 0 "2000" 0 0 "Status Quo" "Status Quo" "Status Quo"
"144" 5123 5123 "AR" "St. Francis County" 6 3 0 1 "2000" 0 0 "Status Quo" "Status Quo" "Status Quo"
"145" 5125 5125 "AR" "Saline County" 2 2 1 2 "2000" 0 0 "Status Quo" "Status Quo" "Status Quo"
"146" 5127 5127 "AR" "Scott County" 6 6 0 0 "2000" 0 3059447 "Status Quo" "Status Quo" "Status Quo"
"147" 5129 5129 "AR" "Searcy County" 9 10 0 0 "2000" 0 0 "Status Quo" "Status Quo" "Status Quo"
"148" 5131 5131 "AR" "Sebastian County" 2 2 1 2 "2000" 0 37756681 "Status Quo" "Status Quo" "Status Quo"
"149" 5133 5133 "AR" "Sevier County" 6 6 0 0 "2000" 0 0 "Status Quo" "Status Quo" "Status Quo"
"150" 5135 5135 "AR" "Sharp County" 7 9 0 0 "2000" 0 0 "Status Quo" "Status Quo" "Status Quo"
"151" 5137 5137 "AR" "Stone County" 9 9 0 0 "2000" 0 0 "Status Quo" "Status Quo" "Status Quo"
"152" 5139 5139 "AR" "Union County" 7 8 0 1 "2000" 844511 252727 "Status Quo" "Status Quo" "Status Quo"
"153" 5141 5141 "AR" "Van Buren County" 8 6 0 0 "2000" 0 0 "Status Quo" "H_Growth" "H_Growth"
"154" 5143 5143 "AR" "Washington County" 2 2 1 2 "2000" 0 112086 "Status Quo" "Status Quo" "Status Quo"
"155" 5145 5145 "AR" "White County" 4 5 0 1 "2000" 0 1616 "Status Quo" "H_Growth" "H_Growth"
"156" 5147 5147 "AR" "Woodruff County" 9 10 0 0 "2000" 0 0 "Status Quo" "Status Quo" "Status Quo"
"157" 5149 5149 "AR" "Yell County" 6 5 0 1 "2000" 0 979734 "Status Quo" "H_Growth" "H_Growth"
"158" 6001 6001 "CA" "Alameda County" 1 1 1 2 "2000" 10046 0 "Status Quo" "Status Quo" "Status Quo"
"159" 6003 6003 "CA" "Alpine County" 8 4 0 0 "2000" 0 0 "Status Quo" "Status Quo" "Status Quo"
"160" 6005 6005 "CA" "Amador County" 6 4 0 0 "2000" 0 0 "Status Quo" "Status Quo" "Status Quo"
"161" 6007 6007 "CA" "Butte County" 3 2 1 2 "2000" 0 225081 "Status Quo" "Status Quo" "Status Quo"
"162" 6009 6009 "CA" "Calaveras County" 6 6 0 0 "2000" 0 0 "Status Quo" "Status Quo" "Status Quo"
"163" 6011 6011 "CA" "Colusa County" 6 4 0 0 "2000" 0 5873777 "Status Quo" "H_Growth" "H_Growth"
"164" 6013 6013 "CA" "Contra Costa County" 1 1 1 2 "2000" 1739 2294721 "Status Quo" "Status Quo" "Status Quo"
"165" 6015 6015 "CA" "Del Norte County" 7 8 0 1 "2000" 0 0 "Status Quo" "Status Quo" "Status Quo"
"166" 6017 6017 "CA" "El Dorado County" 1 1 1 2 "2000" 0 0 "Status Quo" "Status Quo" "Status Quo"
"167" 6019 6019 "CA" "Fresno County" 2 2 1 2 "2000" 8258169 4962235 "H_Decline" "H_Decline" "H_Decline"
"168" 6021 6021 "CA" "Glenn County" 6 6 0 0 "2000" 0 11448732 "Status Quo" "Status Quo" "Status Quo"
"169" 6023 6023 "CA" "Humboldt County" 5 8 0 1 "2000" 0 1337796 "Status Quo" "Status Quo" "Status Quo"
"170" 6025 6025 "CA" "Imperial County" 3 2 1 2 "2000" 0 0 "Status Quo" "Status Quo" "Status Quo"
"171" 6027 6027 "CA" "Inyo County" 7 11 0 0 "2000" 0 0 "Status Quo" "Status Quo" "Status Quo"
"172" 6029 6029 "CA" "Kern County" 2 2 1 2 "2000" 208781424 226939345 "H_Decline" "H_Decline" "H_Decline"
"173" 6031 6031 "CA" "Kings County" 3 2 1 2 "2000" 141833 525670 "Status Quo" "Status Quo" "Status Quo"
"174" 6033 6033 "CA" "Lake County" 4 5 0 1 "2000" 0 0 "Status Quo" "Status Quo" "Status Quo"
"175" 6035 6035 "CA" "Lassen County" 7 8 0 1 "2000" 0 0 "Status Quo" "Status Quo" "Status Quo"
"176" 6037 6037 "CA" "Los Angeles County" 1 1 1 2 "2000" 28948956 19416479 "H_Decline" "H_Decline" "H_Decline"
"177" 6039 6039 "CA" "Madera County" 3 2 1 2 "2000" 0 697657 "Status Quo" "Status Quo" "Status Quo"
"178" 6041 6041 "CA" "Marin County" 1 1 1 2 "2000" 0 0 "Status Quo" "Status Quo" "Status Quo"
"179" 6043 6043 "CA" "Mariposa County" 8 7 0 0 "2000" 0 0 "Status Quo" "Status Quo" "Status Quo"
"180" 6045 6045 "CA" "Mendocino County" 4 5 0 1 "2000" 0 0 "Status Quo" "Status Quo" "Status Quo"
"181" 6047 6047 "CA" "Merced County" 2 2 1 2 "2000" 0 51110 "Status Quo" "Status Quo" "Status Quo"
"182" 6049 6049 "CA" "Modoc County" 6 6 0 0 "2000" 0 0 "Status Quo" "Status Quo" "Status Quo"
"183" 6051 6051 "CA" "Mono County" 7 11 0 0 "2000" 0 0 "Status Quo" "Status Quo" "Status Quo"
"184" 6053 6053 "CA" "Monterey County" 2 2 1 2 "2000" 4770437 236233 "H_Growth" "Status Quo" "H_Growth"
"185" 6055 6055 "CA" "Napa County" 3 2 1 2 "2000" 0 0 "Status Quo" "Status Quo" "Status Quo"
"186" 6057 6057 "CA" "Nevada County" 4 3 0 1 "2000" 0 0 "Status Quo" "Status Quo" "Status Quo"
"187" 6059 6059 "CA" "Orange County" 1 1 1 2 "2000" 6692362 2764040 "H_Decline" "Status Quo" "H_Decline"
"188" 6061 6061 "CA" "Placer County" 1 1 1 2 "2000" 0 0 "Status Quo" "Status Quo" "Status Quo"
"189" 6063 6063 "CA" "Plumas County" 7 12 0 0 "2000" 0 0 "Status Quo" "Status Quo" "Status Quo"
"190" 6065 6065 "CA" "Riverside County" 1 1 1 2 "2000" 0 0 "Status Quo" "Status Quo" "Status Quo"
"191" 6067 6067 "CA" "Sacramento County" 1 1 1 2 "2000" 8779 13831140 "Status Quo" "H_Decline" "H_Decline"
"192" 6069 6069 "CA" "San Benito County" 1 1 1 2 "2000" 11198 34653 "Status Quo" "Status Quo" "Status Quo"
"193" 6071 6071 "CA" "San Bernardino County" 1 1 1 2 "2000" 10705 50 "Status Quo" "Status Quo" "Status Quo"
"194" 6073 6073 "CA" "San Diego County" 1 1 1 2 "2000" 0 0 "Status Quo" "Status Quo" "Status Quo"
"195" 6075 6075 "CA" "San Francisco County" 1 1 1 2 "2000" 0 0 "Status Quo" "Status Quo" "Status Quo"
"196" 6077 6077 "CA" "San Joaquin County" 2 2 1 2 "2000" 0 6633773 "Status Quo" "Status Quo" "Status Quo"
"197" 6079 6079 "CA" "San Luis Obispo County" 2 2 1 2 "2000" 640701 157386 "Status Quo" "Status Quo" "Status Quo"
"198" 6081 6081 "CA" "San Mateo County" 1 1 1 2 "2000" 2205 827 "Status Quo" "Status Quo" "Status Quo"
"199" 6083 6083 "CA" "Santa Barbara County" 2 2 1 2 "2000" 3841868 4967746 "Status Quo" "Status Quo" "H_Decline"
"200" 6085 6085 "CA" "Santa Clara County" 1 1 1 2 "2000" 25385 30823 "Status Quo" "Status Quo" "Status Quo"
"201" 6087 6087 "CA" "Santa Cruz County" 2 2 1 2 "2000" 0 0 "Status Quo" "Status Quo" "Status Quo"
"202" 6089 6089 "CA" "Shasta County" 3 2 1 2 "2000" 0 0 "Status Quo" "Status Quo" "Status Quo"
"203" 6091 6091 "CA" "Sierra County" 8 7 0 0 "2000" 0 0 "Status Quo" "Status Quo" "Status Quo"
"204" 6093 6093 "CA" "Siskiyou County" 6 6 0 0 "2000" 0 0 "Status Quo" "Status Quo" "Status Quo"
"205" 6095 6095 "CA" "Solano County" 2 2 1 2 "2000" 44653 18673223 "Status Quo" "H_Decline" "H_Decline"
"206" 6097 6097 "CA" "Sonoma County" 2 2 1 2 "2000" 0 0 "Status Quo" "Status Quo" "Status Quo"
"207" 6099 6099 "CA" "Stanislaus County" 2 2 1 2 "2000" 0 0 "Status Quo" "Status Quo" "Status Quo"
"208" 6101 6101 "CA" "Sutter County" 3 2 1 2 "2000" 0 5979536 "Status Quo" "H_Growth" "H_Growth"
"209" 6103 6103 "CA" "Tehama County" 4 5 0 1 "2000" 2 3893242 "Status Quo" "Status Quo" "Status Quo"
"210" 6105 6105 "CA" "Trinity County" 8 6 0 0 "2000" 0 0 "Status Quo" "Status Quo" "Status Quo"
"211" 6107 6107 "CA" "Tulare County" 2 2 1 2 "2000" 41346 38707 "Status Quo" "Status Quo" "Status Quo"
"212" 6109 6109 "CA" "Tuolumne County" 4 5 0 1 "2000" 0 0 "Status Quo" "Status Quo" "Status Quo"
"213" 6111 6111 "CA" "Ventura County" 2 2 1 2 "2000" 9063256 9588965 "H_Decline" "Status Quo" "H_Decline"
"214" 6113 6113 "CA" "Yolo County" 1 1 1 2 "2000" 0 8315949 "Status Quo" "H_Decline" "H_Decline"
"215" 6115 6115 "CA" "Yuba County" 3 2 1 2 "2000" 0 0 "Status Quo" "Status Quo" "Status Quo"
"216" 8001 8001 "CO" "Adams County" 1 1 1 2 "2000" 638255 8540631 "Status Quo" "Status Quo" "H_Decline"
"217" 8003 8003 "CO" "Alamosa County" 7 11 0 0 "2000" 0 0 "Status Quo" "Status Quo" "Status Quo"
"218" 8005 8005 "CO" "Arapahoe County" 1 1 1 2 "2000" 80737 614150 "Status Quo" "Status Quo" "Status Quo"
"219" 8007 8007 "CO" "Archuleta County" 7 10 0 0 "2000" 3502 852735 "Status Quo" "H_Growth" "H_Growth"
"220" 8009 8009 "CO" "Baca County" 9 12 0 0 "2000" 165713 3766304 "Status Quo" "Status Quo" "H_Decline"
"221" 8011 8011 "CO" "Bent County" 7 12 0 0 "2000" 256 829590 "Status Quo" "Status Quo" "Status Quo"
