FIPS,geoid,Stabr,County_Name,Rural_Urban_Continuum_Code_2013,Urban_Influence_2013,Metro_Nonmetro_2013,Metro_Micro_Noncore_2013,oil2000,oil2001,oil2002,oil2003,oil2004,oil2005,oil2006,oil2007,oil2008,oil2009,oil2010,oil2011,gas2000,gas2001,gas2002,gas2003,gas2004,gas2005,gas2006,gas2007,gas2008,gas2009,gas2010,gas2011,oil_change_group,gas_change_group,oil_gas_change_group
5019,05019,AR,Clark County,7,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Status Quo,Status Quo,Status Quo
5021,05021,AR,Clay County,7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Status Quo,Status Quo,Status Quo
5023,05023,AR,Cleburne County,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32362,157637,2355390,9063688,40853908,94440195,139553884,Status Quo,H_Growth,H_Growth
5025,05025,AR,Cleveland County,3,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Status Quo,Status Quo,Status Quo
5027,05027,AR,Columbia County,7,8,0,1,2660294,2564269,2414014,2395333,1975211,1749449,1602758,1572686,1453016,1335900,1330253,1516769,9662458,8944412,7231692,6734893,6010107,5338264,4897548,4934654,5155792,4703270,6304020,7459727,H_Decline,Status Quo,H_Decline
5029,05029,AR,Conway County,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16566,33377,8496,66,51291,1268609,5582520,25449644,76219572,115506182,160502549,198415787,Status Quo,H_Growth,H_Growth
5031,05031,AR,Craighead County,3,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Status Quo,Status Quo,Status Quo
5033,05033,AR,Crawford County,2,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,15680423,14531220,13398295,12132686,11248197,11406478,10893217,10353439,9858857,8112272,7585166,7321235,Status Quo,H_Decline,H_Decline
5035,05035,AR,Crittenden County,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Status Quo,Status Quo,Status Quo
5037,05037,AR,Cross County,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Status Quo,Status Quo,Status Quo
5039,05039,AR,Dallas County,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Status Quo,Status Quo,Status Quo
5041,05041,AR,Desha County,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Status Quo,Status Quo,Status Quo
5043,05043,AR,Drew County,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Status Quo,Status Quo,Status Quo
5045,05045,AR,Faulkner County,2,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,3274,7219,1539,0,0,291846,2498082,7695043,12412972,28379447,50631399,71001917,Status Quo,H_Growth,H_Growth
5047,05047,AR,Franklin County,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53628919,52558714,51786653,54374382,50658164,43577553,38399253,34046505,31190757,27347737,25846534,23192698,Status Quo,H_Decline,H_Decline
5049,05049,AR,Fulton County,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Status Quo,Status Quo,Status Quo
5051,05051,AR,Garland County,3,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Status Quo,Status Quo,Status Quo
5053,05053,AR,Grant County,2,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Status Quo,Status Quo,Status Quo
5055,05055,AR,Greene County,4,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Status Quo,Status Quo,Status Quo
5057,05057,AR,Hempstead County,6,6,0,0,4306,4551,3873,3768,3738,3481,3118,3166,3095,2802,2827,2857,0,0,0,0,0,0,0,0,0,0,0,0,Status Quo,Status Quo,Status Quo
5059,05059,AR,Hot Spring County,6,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Status Quo,Status Quo,Status Quo
5061,05061,AR,Howard County,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Status Quo,Status Quo,Status Quo
5063,05063,AR,Independence County,7,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,291559,3114868,5673106,12421034,Status Quo,H_Growth,H_Growth
5065,05065,AR,Izard County,9,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Status Quo,Status Quo,Status Quo
5067,05067,AR,Jackson County,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,292148,1074181,3722318,2573300,Status Quo,Status Quo,Status Quo
5069,05069,AR,Jefferson County,3,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Status Quo,Status Quo,Status Quo
5071,05071,AR,Johnson County,7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18190107,17133790,15123207,14000933,12492827,10417921,9757993,9245885,8675887,7496183,6814993,6091704,Status Quo,H_Decline,H_Decline
5073,05073,AR,Lafayette County,8,7,0,0,931978,878595,825112,944737,804955,736830,741149,737224,688920,651450,638421,626277,6316535,5645869,4779519,3929158,3216383,2840691,1630075,1393572,1151491,940414,1063901,994534,Status Quo,H_Decline,H_Decline
5075,05075,AR,Lawrence County,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Status Quo,Status Quo,Status Quo
5077,05077,AR,Lee County,7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Status Quo,Status Quo,Status Quo
5079,05079,AR,Lincoln County,3,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Status Quo,Status Quo,Status Quo
5081,05081,AR,Little River County,3,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Status Quo,Status Quo,Status Quo
5083,05083,AR,Logan County,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20350966,20988389,21876652,25494624,39827290,46363594,46175582,47008587,47986801,52559025,50329458,40366909,Status Quo,H_Growth,H_Growth
5085,05085,AR,Lonoke County,2,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Status Quo,Status Quo,Status Quo
5087,05087,AR,Madison County,2,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,6122,3216,31152,20971,18664,15415,20332,18651,15238,13874,12509,7550,Status Quo,Status Quo,Status Quo
5089,05089,AR,Marion County,9,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Status Quo,Status Quo,Status Quo
5091,05091,AR,Miller County,3,2,1,2,616055,626202,646785,496077,422899,363215,334462,305130,303308,302260,286935,316067,1221441,1684360,2142638,1939065,1737811,1495297,1150652,1123643,969691,858049,521170,759987,Status Quo,Status Quo,H_Decline
5093,05093,AR,Mississippi County,4,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Status Quo,Status Quo,Status Quo
5095,05095,AR,Monroe County,7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Status Quo,Status Quo,Status Quo
5097,05097,AR,Montgomery County,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Status Quo,Status Quo,Status Quo
5099,05099,AR,Nevada County,7,9,0,0,151226,157735,172658,178219,182812,178385,185391,174212,169204,163231,155927,149662,817,624,484,672,587,554,587,480,436,672,650,625,Status Quo,Status Quo,Status Quo
5101,05101,AR,Newton County,9,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Status Quo,Status Quo,Status Quo
5103,05103,AR,Ouachita County,7,8,0,1,545814,583318,560387,580570,578187,561058,574626,604466,630943,597578,588649,599441,45150,32624,32729,32425,31885,34157,25288,4687,6261,5261,4544,5296,Status Quo,Status Quo,Status Quo
5105,05105,AR,Perry County,2,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Status Quo,Status Quo,Status Quo
5107,05107,AR,Phillips County,6,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Status Quo,Status Quo,Status Quo
5109,05109,AR,Pike County,9,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Status Quo,Status Quo,Status Quo
5111,05111,AR,Poinsett County,3,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Status Quo,Status Quo,Status Quo
5113,05113,AR,Polk County,7,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Status Quo,Status Quo,Status Quo
5115,05115,AR,Pope County,5,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7462171,6811230,6255294,6694907,6534242,6607915,5938871,5862630,6488690,6934563,6840611,6162682,Status Quo,Status Quo,Status Quo
5117,05117,AR,Prairie County,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Status Quo,Status Quo,Status Quo
